store,building,floor,floor_name,category,brand
본점,본관,6F,까사빠보ㅣ트리니티 가든,일반서비스,여자 화장실
본점,본관,6F,까사빠보ㅣ트리니티 가든,식당가,까사빠보
본점,본관,6F,까사빠보ㅣ트리니티 가든,휴게시설,트리니티가든
본점,본관,5F,전문식당가,일반서비스,남자 화장실
본점,본관,5F,전문식당가,일반서비스,여자 화장실
본점,본관,5F,전문식당가,식당가,마쯔야
본점,본관,5F,전문식당가,식당가,큰기와집한상
본점,본관,5F,전문식당가,식당가,평양면옥
본점,본관,5F,전문식당가,식당가,한우리
본점,본관,5F,전문식당가,식당가,호경전
본점,본관,5F,전문식당가,카페,스타벅스
본점,본관,4F,컨템포러리,럭셔리뷰틱,분더샵
본점,본관,4F,컨템포러리,컨템포러리디자이너,마르니
본점,본관,4F,컨템포러리,컨템포러리디자이너,몽클레르
본점,본관,4F,컨템포러리,컨템포러리디자이너,발렌시아가
본점,본관,4F,컨템포러리,컨템포러리디자이너,사카이
본점,본관,4F,컨템포러리,컨템포러리디자이너,사카이
본점,본관,4F,컨템포러리,컨템포러리디자이너,셀린느
본점,본관,4F,컨템포러리,컨템포러리디자이너,아뇨나
본점,본관,4F,컨템포러리,컨템포러리디자이너,아크네 스튜디오
본점,본관,4F,컨템포러리,컨템포러리디자이너,엠포리오 아르마니
본점,본관,4F,컨템포러리,컨템포러리디자이너,지방시
본점,본관,4F,컨템포러리,럭셔리뷰틱 남성,베트멍 남성
본점,본관,4F,컨템포러리,VIP서비스,트리니티라운지
본점,본관,4F,컨템포러리,럭셔리뷰틱 남성,몽클레르 남성
본점,본관,4F,컨템포러리,럭셔리뷰틱 남성,분더샵 남성
본점,본관,3F,디자이너 컬렉션,수입클래식,레오나드
본점,본관,3F,디자이너 컬렉션,수입클래식,막스마라
본점,본관,3F,디자이너 컬렉션,수입클래식,브루넬로 쿠치넬리
본점,본관,3F,디자이너 컬렉션,수입클래식,이세이미야케
본점,본관,3F,디자이너 컬렉션,수입클래식,콜롬보
본점,본관,3F,디자이너 컬렉션,수입클래식,키톤
본점,본관,3F,디자이너 컬렉션,수입클래식,트리니티
본점,본관,3F,디자이너 컬렉션,수입클래식,파비아나 필리피
본점,본관,3F,디자이너 컬렉션,수입클래식,플리츠플리즈
본점,본관,3F,디자이너 컬렉션,컨템포러리디자이너,릭오웬스
본점,본관,3F,디자이너 컬렉션,컨템포러리디자이너,멀버리
본점,본관,3F,디자이너 컬렉션,컨템포러리디자이너,요지야마모토
본점,본관,3F,디자이너 컬렉션,컨템포러리디자이너,필립플레인
본점,본관,3F,디자이너 컬렉션,컨템포러리디자이너,헨리베글린
본점,본관,3F,디자이너 컬렉션,핸드백,폰타나밀라노
본점,본관,3F,디자이너 컬렉션,일반서비스,여자 화장실
본점,본관,2F,디자이너 컬렉션,럭셔리뷰틱,생로랑
본점,본관,2F,디자이너 컬렉션,럭셔리뷰틱,샤넬 복층
본점,본관,2F,디자이너 컬렉션,럭셔리뷰틱,크리스찬디올
본점,본관,2F,디자이너 컬렉션,럭셔리뷰틱,펜디
본점,본관,2F,디자이너 컬렉션,수입클래식,로로피아나
본점,본관,2F,디자이너 컬렉션,수입클래식,발렌티노
